Product ID,Brand,Product Name,Product Number,Description,Dealer,MSRP,MAP,Primary Distributor,Secondary Distributor,Tertiary Distributor,Spec Sheet URL,Image URL
PROD11114,DAS AUDIO,ALTEA-415A,10404845," Powered, 400W (Cont.) / 800W (Peak), 15”, 2 way full-range, polypropylene enclosure, 90°x60°, black",$468.68,$937.35,$670.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=3b5da375fbad5e108f7807942541b0ae&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ALTEA415_415A_715_715A_34_HR.png&w=330&h=330&fit=1
PROD11115,DAS AUDIO,ALTEA-712A,10404880," Powered, 750W (Cont.) / 1500W (Peak), 12”, 2 way full-range, polypropylene enclosure, 90°x60°, black w/ Wireless Streaming via DASlink",$685.65,"$1,371.30",$980.00,Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=130c30ef62fea3af4bb4aadca43805cc&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_412_412A_712_712A_34.png&w=330&h=330&fit=1
PROD11116,DAS AUDIO,ALTEA-715A,10404810," Powered, 750W (Cont.) / 1500W (Peak), 15”, 2 way full-range, polypropylene enclosure, 90°x60°, black, w/ Wireless Streaming via DASlink",$729.15,"$1,458.30","$1,045.00",Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=25f61993d10dddb98859547ac202c3dd&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/PF_Altea_415_415A_715_715A_34.png&w=330&h=330&fit=1
PROD11117,DAS AUDIO,ALTEA-718A,10404959," Powered, 600W (Cont.) / 1200W (Peak), 18”, wooden enclosure subwoofer, black w/ DAScontrol™","$1,090.65","$2,181.30","$1,559.00",Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=d85671866acfc03203cfaebb782f0ea9&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/8/PF_ALTEA718_718A_34_HR.png&w=330&h=330&fit=1
PROD11118,DAS AUDIO,ALTEA-S15A,10404985," Powered, 600W (Cont.) / 1200W (Peak), 15”, wooden enclosure subwoofer, switching power supply, w/ cardioid presets and DAScontrol™",$909.00,"$1,818.00","$1,299.00",Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=a6a40e93edf90f755482d4c09d5b28b0&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ALTEA_S15.png&w=330&h=330&fit=1
PROD11119,DAS AUDIO,ALTEA-DUO-10A,10435060," Powered Column Array, 500W (Cont.) / 1000W (Peak), 1 x 10” LF, 2 x 3” MF, 1 x 1” HF, 100° x 60° coverage, w/ Wireless Connectivity, black",$809.00,"$1,618.00","$1,169.00",Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=52ad335a7db92eade1fdd56cc55f43f5&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/5/PF_ALT_DUO10_34.png&w=330&h=330&fit=1
PROD11120,DAS AUDIO,ALTEA-DUO-10A-W,10435062," Powered Column Array, 500W (Cont.) / 1000W (Peak), 1 x 10” LF, 2 x 3” MF, 1 x 1” HF, 100° x 60° coverage, w/ Wireless Connectivity, white",$809.00,"$1,618.00","$1,169.00",Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=fcaac370de6713b43e9728046fc047ae&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ALT_DUO10_W_34.png&w=330&h=330&fit=1
PROD11121,DAS AUDIO,ALTEA-DUO-20A,10435061," Powered Column Array, 1000W (Cont.) / 2000W (Peak), 2 x 10” LF, 4 x 3” MF, 1 x 1” HF, 100° x 60° coverage, w/ Wireless Connectivity, black","$1,249.00","$2,498.00","$1,799.00",Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=dc7d42f115fc1baf74db1cdaef294969&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/5/PF_ALT_DUO20_34.png&w=330&h=330&fit=1
PROD11122,DAS AUDIO,ALTEA-DUO-20A-W,10435063," Powered Column Array, 1000W (Cont.) / 2000W (Peak), 2 x 10” LF, 4 x 3” MF, 1 x 1” HF, 100° x 60° coverage, w/ Wireless Connectivity, white","$1,249.00","$2,498.00","$1,799.00",Fulks Media Solutions,FDW,Gear Techs,https://www.dasaudio.com/pdf/pdfdatasheet.php?id=2b7d1c5e903ae420d3e52e92fa22987b&#038;lang=es,https://www.dasaudio.com/thumbnailsenv.php?i=https://d7rh5s3nxmpy4.cloudfront.net/CMP829/1/PF_ALT_DUO20_W_FRONT.png&w=330&h=330&fit=1
PROD11123,DAS AUDIO,AX-112-5,10102390,,$82.94,$165.87,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11124,DAS AUDIO,AXW-ALT,10102391,Wall mount bracket and safety cable for ALTEA-408 Models,$25.16,$50.31,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11125,DAS AUDIO,AXW-ALT-WR,10102392," Wall mount bracket and safety cable for ALTEA-408 Models, Weatherized",$46.97,$93.93,,Fulks Media Solutions,FDW,Gear Techs,,
PROD11126,DAS AUDIO,CVR-ALTEA-12,16900048,Double Padded (10mm) - Black Protective Transport Cover For Altea-412/712,$33.08,$129.98,$64.99,Fulks Media Solutions,FDW,Gear Techs,,
PROD11127,DAS AUDIO,CVR-ALTEA-15,16900049,Double Padded (10mm) - Black Protective Transport Cover For Altea-415/715,$38.85,$149.98,$74.99,Fulks Media Solutions,FDW,Gear Techs,,
PROD11128,DAS AUDIO,CVR-ALTEA-408,16900770,Double Padded (10mm) - Black Protective Transport Cover For Altea-408,$30.00,$119.98,$59.99,Fulks Media Solutions,FDW,Gear Techs,,
PROD11129,DAS AUDIO,CVR-ALTEA-S15,16900771,Double Padded (10mm) - Black Protective Transport Cover For Altea-S15 CVR-VAN-18/ACT-S18/ALT-718,$55.00,$219.98,$109.99,Fulks Media Solutions,FDW,Gear Techs,,
